gene,tag,target_id,LB0R1,LB0R2,LB0R3,LB1R1,LB1R2,LB1R3,M9LQR1,M9LQR2,M9LQR3,M9SFR1,M9SFR2,M9SFR3
N/A,ACIAD1790,lcl|CR543861.1_cds_CAG68627.1_1640,79.2347,104.109,88.9404,60.3738,82.3518,88.5127,56.4279,60.0965,59.2282,40.2644,47.3865,58.3897
N/A,ACIAD1791,lcl|CR543861.1_cds_CAG68628.1_1641,11.4604,11.8754,10.1276,10.2331,13.5817,11.6277,3.89415,5.57355,7.76437,7.23384,5.7617,8.2207
N/A,ACIAD1792,lcl|CR543861.1_cds_CAG68629.1_1642,22.0935,29.4883,0.0292783,0.00115998,29.2695,24.3115,0.0497569,0.0762972,29.0441,27.34,0.0440704,20.8191
N/A,ACIAD1794,lcl|CR543861.1_cds_CAG68630.1_1643,11.6749,13.0213,4.12347,4.50086,16.2542,10.7276,34.3293,33.4945,48.5707,19.3187,15.4231,16.3928
N/A,ACIAD1795,lcl|CR543861.1_cds_CAG68631.1_1644,5.90831,19.1442,12.4823,7.09955,10.609,16.0554,17.5993,16.1184,24.8987,36.3658,25.2277,32.9454
N/A,ACIAD1796,lcl|CR543861.1_cds_CAG68632.1_1645,8.12392,12.2719,13.6171,9.46606,14.398,9.48731,5.02837,10.2571,1.91528,18.6951,21.864,22.9907
N/A,ACIAD1798,lcl|CR543861.1_cds_CAG68633.1_1646,6.70114,9.28622,14.1746,9.42295,8.14289,13.2201,1.4331,5.01023,2.17902,10.076,10.9706,11.5543
N/A,ACIAD1799,lcl|CR543861.1_cds_CAG68634.1_1647,216.771,191.148,176.723,188.892,135.731,299.331,440.223,552.769,285.428,724.847,1330.81,1075.56
N/A,ACIAD1800,lcl|CR543861.1_cds_CAG68635.1_1648,12.8592,11.9532,18.9448,6.32415,14.2397,12.3965,28.5088,23.4612,33.2678,69.2862,101.35,52.5599
N/A,ACIAD1801,lcl|CR543861.1_cds_CAG68636.1_1649,18.1255,27.8119,14.6313,9.38148,23.966,15.6951,17.9582,9.30237,10.63,24.825,30.6276,26.0058
N/A,ACIAD1802,lcl|CR543861.1_cds_CAG68637.1_1650,36.505,46.8532,29.97,0.0,34.3598,24.1468,13.2497,7.7342,0.0,12.7935,27.3056,9.9004
N/A,ACIAD1803,lcl|CR543861.1_cds_CAG68638.1_1651,25.6906,31.1732,18.0321,27.3143,28.9902,28.3958,8.26531,21.6847,6.31563,24.3277,16.7103,26.7335
N/A,ACIAD1804,lcl|CR543861.1_cds_CAG68639.1_1652,12.9783,7.36968,4.02271,7.66473,8.40649,7.86876,18.6193,16.2767,15.9514,23.2347,20.2225,16.8935
N/A,ACIAD1805,lcl|CR543861.1_cds_CAG68640.1_1653,4.46066,2.83508,1.31406,0.0,1.83317,1.71778,3.02963,7.06363,4.62036,7.91419,16.2514,10.0435
N/A,ACIAD1806,lcl|CR543861.1_cds_CAG68641.1_1654,0.0,6.67886,0.0,0.0,0.0,6.86486,0.0,0.0,0.0,9.70882,23.465,5.32572
N/A,ACIAD1807,lcl|CR543861.1_cds_CAG68642.1_1655,6.16613,7.39199,4.03485,4.39296,2.81066,6.57724,5.83586,9.52306,5.33305,17.013,23.404,15.8718
N/A,ACIAD1808,lcl|CR543861.1_cds_CAG68643.1_1656,4.88419,2.65721,7.1912,3.35498,7.15679,8.70937,3.56527,4.15567,7.24078,20.1781,17.4788,17.0367
N/A,ACIAD1809,lcl|CR543861.1_cds_CAG68644.1_1657,2.51829,8.5332,6.18149,2.68722,4.31025,6.46052,8.55915,11.6405,2.17481,22.0365,19.1148,17.5928
